"photo_id","year","county","point_x","point_y"
"ARW-6-30",1938,"Cayuga",378224.97,4728692.77
"ARW-6-32",1938,"Cayuga",378124.72,4731973.12
"ARW-6-34",1938,"Cayuga",378296.58,4734852.45
"ARW-6-36",1938,"Cayuga",378310.91,4737574.23
"ARW-6-38",1938,"Cayuga",378267.94,4740296.01
"ARW-6-40",1938,"Cayuga",378744.55,4743188.63
"ARW-6-42",1938,"Cayuga",378969.49,4746101.17
"ARW-6-45",1938,"Cayuga",370560.00,4725515.95
"ARW-6-47",1938,"Cayuga",370320.45,4728633.67
"ARW-6-49",1938,"Cayuga",369973.11,4731583.70
"ARW-6-51",1938,"Cayuga",369188.38,4734155.86
"ARW-6-53",1938,"Cayuga",368886.13,4736959.66
"ARW-6-55",1938,"Cayuga",368939.43,4739857.98
"ARW-6-57",1938,"Cayuga",363262.11,4750628.49
"ARW-6-60",1938,"Cayuga",363305.52,4746634.88
"ARW-6-62",1938,"Cayuga",363022.78,4743567.09
"ARW-6-64",1938,"Cayuga",362645.80,4740674.33
"ARW-6-65",1938,"Cayuga",362793.90,4739114.49
"ARW-6-67",1938,"Cayuga",362740.04,4736114.02
"ARW-6-71",1938,"Cayuga",363215.91,4730445.93
"ARW-6-73",1938,"Cayuga",362838.39,4727486.19
"ARW-6-75",1938,"Cayuga",362630.11,4724448.33
"ARW-6-77",1938,"Cayuga",362499.93,4721254.27
"ARW-6-78",1938,"Cayuga",362279.27,4717784.27
"ARW-7-02",1938,"Cayuga",372615.85,4762903.35
"ARW-7-6",1938,"Cayuga",363427.39,4764255.81
"ARW-7-14",1938,"Cayuga",363096.67,4753324.41
"ARW-7-24",1938,"Cayuga",377826.73,4719603.36
"ARW-7-26",1938,"Cayuga",377928.12,4722483.10
"ARW-7-47",1938,"Cayuga",359862.87,4754789.01
"ARW-7-49",1938,"Cayuga",359412.64,4757843.51
"ARW-7-51",1938,"Cayuga",359430.84,4760693.82
"ARW-7-53",1938,"Cayuga",359351.70,4763433.37
"ARW-3N-150",1954,"Cayuga",360820.94,4800165.33
"ARW-3N-152",1954,"Cayuga",360594.40,4796807.72
"ARW-3N-154",1954,"Cayuga",360505.40,4793593.31
"ARW-3N-156",1954,"Cayuga",360675.31,4790319.03
"ARW-3N-158",1954,"Cayuga",360456.86,4786952.52
"ARW-3N-159",1954,"Cayuga",360553.95,4785221.93
"ARW-3N-71",1954,"Cayuga",360809.04,4780000.45
